uri,name,iso_nn6_nc2_1,iso_nn6_nc2_2,se_nn6_nc2_1,se_nn6_nc2_2,km_nn6_nc2,iso_nn9_nc3_1,iso_nn9_nc3_2,iso_nn9_nc3_3,se_nn9_nc3_1,se_nn9_nc3_2,se_nn9_nc3_3,km_nn9_nc3,iso_n6_p1,iso_n6_p2
spotify:artist:021hNAnkFIbyFyL97br6NB,Kellie Pickler,-1.480759197,1.618372619,-0.016379466,-0.015795334,2,-1.555861324,-1.633812159,0.525685168,-0.016379466,-0.015795334,0.047646738,2,-1.112066725,-0.996888037
spotify:artist:02rd0anEWfMtF7iMku9uor,Reba McEntire,-2.537292426,2.994053765,-0.01611688,-0.015088222,2,-2.034573778,-2.127795296,0.290227492,-0.01611688,-0.015088222,0.04310773,2,-1.520465949,-1.455179509
spotify:artist:070kGpqtESdDsLb3gdMIyx,Easton Corbin,-1.752522848,-2.452210223,0.049947349,0.008530221,0,-0.634648558,1.696104858,0.240835875,0.049947349,0.008530221,0.00212535,0,-0.681030081,1.211234323
spotify:artist:0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,-2.671376852,-3.452117603,0.060709024,0.01362619,6,-1.732829601,3.145395622,-1.663726163,0.060709024,0.01362619,0.014093624,6,-1.30613927,1.697362855
spotify:artist:0FcmRWJUfnCuwoXE1H2b0H,Restless Heart,2.08242835,0.711273323,-0.013637646,-0.006429093,0,1.202562312,-0.349054695,-1.331200087,-0.013637646,-0.006429093,-0.006553877,0,0.760089482,-0.532056883
spotify:artist:0HLOP0AdsaWe5Pt5TNueGC,Terri Clark,-6.040836984,7.532613105,-0.014475665,-0.015113653,4,-6.236687562,-6.756185849,0.879376562,-0.014475665,-0.015113653,0.031633905,4,-3.891998663,-4.091617389
spotify:artist:0IdYRFTswLdsGwSnzOaGNF,Gretchen Wilson,-2.299815418,2.657588917,-0.015703815,-0.016153839,2,-1.761124391,-1.855809238,0.594543092,-0.015703815,-0.016153839,0.043237993,2,-1.089806077,-1.247044205
spotify:artist:0KzlJXg6A3NVSCkRjecKnS,Larry Gatlin & The Gatlin Brothers,-0.125224968,-0.048648558,-0.023725596,0.037313929,0,-0.038059022,-0.029420538,-0.063253698,-0.023725596,0.037313929,0.005114921,0,-0.202859182,0.182731409
spotify:artist:0MMNJf1JrxeSFE2pcpX50b,K.T. Oslin,-0.763474268,1.729651523,-0.02036674,0.014589296,0,-0.752186348,-0.570378484,-0.594247211,-0.02036674,0.014589296,0.020298541,0,-0.543143003,-0.406366109
spotify:artist:0OraDGrDGEuqJ2d7250K1i,Doug Supernaw,1.014465091,0.624103771,-0.014594522,0.000952444,0,0.769310859,-0.231907217,-0.686916116,-0.014594522,0.000952444,-0.017467363,0,0.265812716,-0.17240302
spotify:artist:0RKP52f5PNDCRZ9Luq2Sr7,Jerrod Niemann,-0.84772638,-0.858457325,0.025930461,-0.002398997,0,-0.644381943,1.075070026,1.058125643,0.025930461,-0.002398997,-0.020673058,0,-0.106760602,0.914743772
spotify:artist:0SwVn4s8PdhY9XQhi9SetC,Carolyn Dawn Johnson,-0.412543675,0.42418897,-0.017144287,-0.016856506,0,-0.233063462,-0.451599334,-0.198089405,-0.017144287,-0.016856506,0.058012698,0,-0.557757843,-0.331594515
spotify:artist:0UMJlMGr85C0C5D7wmB0Ik,T. Graham Brown,0.112881575,-0.033827473,-0.022180533,0.031231218,0,-0.39927698,0.178430057,-0.331265054,-0.022180533,0.031231218,0.002308848,0,-0.49744078,-0.261046616
spotify:artist:0XKOBt59crntr7HQXXO8Yz,Brooks & Dunn,-0.01900271,-0.261499326,-0.003621241,-0.014483837,0,0.063226162,-0.019117121,0.271726303,-0.003621241,-0.014483837,-0.029791201,0,0.15015082,0.327513675
spotify:artist:0ZZOIWyRv8tdx0kLPlTtMg,Ronnie McDowell,0.082556361,0.530133141,-0.025192576,0.045324169,0,-0.08073273,-0.087095052,-0.354186922,-0.025192576,0.045324169,0.010385324,0,-0.204989279,0.11548521
spotify:artist:0aqrM7Fo3Ml66Kc5JAzmjt,Deana Carter,-5.828203433,7.252880908,-0.016149237,-0.015494988,4,-4.841968224,-5.205420251,0.170109545,-0.016149237,-0.015494988,0.044317619,4,-3.141330776,-4.022301405
spotify:artist:0c08N8UlFjDaup9TNDaWxy,Sonny James,-0.134528268,-0.179367444,-0.036698804,0.138462221,0,-0.007205461,-0.143839404,-0.355823936,-0.036698804,0.138462221,-0.012216071,0,-0.221542139,0.200451184
spotify:artist:0dlwjJe4kg9TgOMN184bJF,Mark Wills,1.779571012,-0.712566831,-0.005700188,-0.013807971,7,0.941979018,0.898257073,3.511506355,-0.005700188,-0.013807971,-0.015657971,7,1.98209847,-0.22045275
spotify:artist:0dvKgSdNB2U1gfp6ZcekYi,Frankie Ballard,-1.321608515,-2.63837133,0.057989953,0.012319732,0,-1.010326734,1.27315248,-0.28616487,0.057989953,0.012319732,0.010950981,0,-0.780093514,1.16330709
spotify:artist:0gWNSMYCSHF4wxIs1XTSDh,Bill Anderson,-0.134528268,-0.179367444,-0.036698804,0.138462221,0,-0.007205461,-0.143839404,-0.355823936,-0.036698804,0.138462221,-0.012216071,0,-0.221542139,0.200451184
spotify:artist:0jgAONnsHxrwAlhkMUVS78,Eddie Rabbitt,-0.125224968,-0.048648558,-0.023725596,0.037313929,0,-0.038059022,-0.029420538,-0.063253698,-0.023725596,0.037313929,0.005114921,0,-0.202859182,0.182731409
spotify:artist:0khzcQ6PQU5a6dl1Qss3pt,Lorrie Morgan,-6.001383005,7.362911311,-0.016098712,-0.009165199,4,-5.172265254,-5.214494961,0.763845682,-0.016098712,-0.009165199,0.027541868,4,-3.110455413,-3.921497806
spotify:artist:0oBEeN6BCxEgMogzThqrPf,Big & Rich,0.788377159,-1.474002528,0.004266657,-0.011741589,7,0.340727335,1.349338037,2.802975734,0.004266657,-0.011741589,-0.038459142,7,0.88960891,0.540125008
spotify:artist:0q2lY1ZzFckzciuoMtUvck,Canaan Smith,-1.321608515,-2.63837133,0.057989953,0.012319732,0,-1.010326734,1.27315248,-0.28616487,0.057989953,0.012319732,0.010950981,0,-0.780093514,1.16330709
spotify:artist:0svyIX7Xu3DVMkrOtB88i6,Diamond Rio,14.4487653,0.604463026,-0.00801063,-0.013249018,8,9.936733496,-1.405210774,1.229108163,-0.00801063,-0.013249018,-0.017525876,8,6.909225073,-0.378821492
spotify:artist:0szj7Sxtyluyjc2Arj0njB,Ferlin Husky,-0.134528268,-0.179367444,-0.036698804,0.138462221,0,-0.007205461,-0.143839404,-0.355823936,-0.036698804,0.138462221,-0.012216071,0,-0.221542139,0.200451184
spotify:artist:0u2FHSq3ln94y5Q57xazwf,Keith Urban,-2.052793099,-2.448945182,0.060287138,0.013421156,6,-1.644995679,2.36685396,-1.052555563,0.060287138,0.013421156,0.013582825,6,-1.08264852,1.456857053
spotify:artist:0xxJO75NeIAF5jYruLYIDT,Tracy Byrd,10.32728321,0.776532011,-0.006151835,-0.012938643,8,9.446592603,-0.893212369,2.823056108,-0.006151835,-0.012938643,-0.029916041,8,6.261300277,0.039550236
spotify:artist:0yXAvxrEkI26bKj0o4yyou,Highway 101,-0.789400266,1.263014464,-0.020489848,0.018427474,0,-1.132356468,-0.420335424,-0.507653168,-0.020489848,0.018427474,0.011487368,0,-0.646190997,-0.905454967
spotify:artist:12bBoCZdPZbBEq1xHT0heD,Rebecca Lynn Howard,-0.412543675,0.42418897,-0.017144287,-0.016856506,0,-0.233063462,-0.451599334,-0.198089405,-0.017144287,-0.016856506,0.058012698,0,-0.557757843,-0.331594515
spotify:artist:13YmWQJFwgZrd4bf5IjMY4,Brad Paisley,-1.646711454,-1.96332086,0.051193532,0.009113837,0,-0.863152088,1.660139701,-0.293224516,0.051193532,0.009113837,0.003423689,0,-0.577154181,1.213173875
spotify:artist:13YoXxZt6SLg96dQE1vkHy,Suzy Bogguss,-2.047955514,2.565463554,-0.016404741,-0.013505169,2,-2.034958177,-2.337173254,-0.091414262,-0.016404741,-0.013505169,0.04060123,2,-1.555446166,-1.809220125
spotify:artist:1456WwI15Lm9CktCzkLZvm,Josh Gracin,0.386286204,-0.739987264,0.003293322,-0.012191208,7,0.36062205,0.818623296,2.516656,0.003293322,-0.012191208,-0.036295363,7,0.648347827,0.805281648
spotify:artist:14h0UcPJlGYv5Qrjp7m1jQ,Jack Greene,-0.134528268,-0.179367444,-0.036698804,0.138462221,0,-0.007205461,-0.143839404,-0.355823936,-0.036698804,0.138462221,-0.012216071,0,-0.221542139,0.200451184
spotify:artist:1By9QBFnjZAoI83BZppHlt,Billy Currington,-5.709616377,-8.384877952,0.055690967,0.011268942,3,-3.394904426,7.458838263,-1.818747891,0.055690967,0.011268942,0.008689039,3,-2.628245214,5.004319462
spotify:artist:1Fj0R2t4HaJa3oUe8azB8R,Ty Herndon,1.069315675,0.504342095,-0.011228341,-0.01415996,0,0.63658618,-0.453750217,0.092609311,-0.011228341,-0.01415996,-0.00705284,0,-0.085357101,-0.292626304
spotify:artist:1LFKKuzn302wp15dYH28id,Tammy Wynette,-0.134528268,-0.179367444,-0.036698804,0.138462221,0,-0.007205461,-0.143839404,-0.355823936,-0.036698804,0.138462221,-0.012216071,0,-0.221542139,0.200451184
spotify:artist:1SX44N5qjWuFcCK8WTO0c6,Pam Tillis,-6.197432497,7.625476686,-0.014959576,-0.012261585,4,-6.231112854,-6.680536194,0.923527282,-0.014959576,-0.012261585,0.024812451,4,-1.395632982,-4.908757955
spotify:artist:1SlB319k1toEaGunEFn6yq,Cyndi Thomson,-0.412543675,0.42418897,-0.017144287,-0.016856506,0,-0.233063462,-0.451599334,-0.198089405,-0.017144287,-0.016856506,0.058012698,0,-0.557757843,-0.331594515
spotify:artist:1SvG3y1gYAFOsv9785Xu9T,Tom T. Hall,-0.134528268,-0.179367444,-0.036698804,0.138462221,0,-0.007205461,-0.143839404,-0.355823936,-0.036698804,0.138462221,-0.012216071,0,-0.221542139,0.200451184
spotify:artist:1Tdrtr2WwDDde01GJllidM,Trick Pony,-0.763558725,0.332958293,-0.016201877,-0.01642123,2,-1.315521688,-1.574607454,-0.068937853,-0.016201877,-0.01642123,0.048190712,2,-1.180080449,-0.866285215
spotify:artist:1UTPBmNbXNTittyMJrNkvw,Blake Shelton,-2.246238875,-2.851925146,0.056509113,0.011640011,6,-1.804448567,2.886151594,-0.842168239,0.056509113,0.011640011,0.009423311,6,-1.217926367,1.80138479
spotify:artist:1XhhO2dTs2fKyhILj0aam6,Phil Vassar,1.919913994,-1.017498309,-0.001865182,-0.013071866,5,2.317274828,1.258703311,4.731115713,-0.001865182,-0.013071866,-0.034114303,5,2.365524639,0.72341714
spotify:artist:1YPIe9qIMa99O0a0OW47Be,Confederate Railroad,6.77080397,1.079409239,-0.011258132,-0.008642821,1,5.23218742,-1.791526583,-3.766118148,-0.011258132,-0.008642821,-0.023130463,1,3.548571614,-1.348553821
spotify:artist:1Zn69emN3uZsF6YwCrkgYp,Trent Tomlinson,0.580913034,-1.073046935,0.005598176,-0.011426998,7,0.269927333,1.109864887,2.464223507,0.005598176,-0.011426998,-0.038463417,7,0.665422058,0.458764329
spotify:artist:1aSIXmBKKrEVIbGLwhedIe,Chely Wright,-3.575100485,4.571014237,-0.016226787,-0.01458843,2,-3.61845853,-4.091164011,0.163405199,-0.016226787,-0.01458843,0.042506541,2,-2.419746608,-3.001056456
spotify:artist:1dID9zgn0OV0Y8ud7Mh2tS,Dustin Lynch,-3.343211083,-4.592342425,0.060320795,0.013442625,6,-2.380626914,3.89803905,-1.799756531,0.060320795,0.013442625,0.01367477,6,-1.716273194,1.993807387
spotify:artist:1efrXlPhLKv7PvgUxVcqIS,Emerson Drive,0.386286204,-0.739987264,0.003293322,-0.012191208,7,0.36062205,0.818623296,2.516656,0.003293322,-0.012191208,-0.036295363,7,0.648347827,0.805281648
spotify:artist:1fMdO9vLUd6wW4jbMeNiup,Mel McDaniel,0.908289494,0.689699297,-0.015856405,0.004363473,0,-0.257669872,0.219775736,-0.637721977,-0.015856405,0.004363473,-0.008175959,0,0.583442939,-0.839257291
spotify:artist:1mQ9wgWshECdFsDbT7ATzT,Daryle Singletary,6.827434796,0.991986551,-0.009817843,-0.011058921,1,5.76168987,-1.629500222,-2.102642347,-0.009817843,-0.011058921,-0.024601764,1,4.012768448,-1.302484069
spotify:artist:1mfDfLsMxYcOOZkzBxvSVW,Cole Swindell,-2.68680896,-3.500946626,0.061721079,0.014112315,6,-1.729093521,3.090592838,-1.744240266,0.061721079,0.014112315,0.015266979,6,-1.359763234,1.649819657
spotify:artist:1n2pb9Tsfe4SwAjmUac6YT,Jake Owen,-6.206232124,-9.375875524,0.059993951,0.013287529,3,-3.81850853,7.046114051,-1.984705825,0.059993951,0.013287529,0.013292346,3,-2.642142111,4.952336027
spotify:artist:1pTuR132U5b4Rizal2Pr7m,Randy Travis,1.570605598,0.520001348,-0.008542749,-0.012951535,0,1.943893997,-0.929413358,-1.287618931,-0.008542749,-0.012951535,-0.030034219,0,1.465582278,-0.19102102
spotify:artist:1rFQlnVFNwI3H6QLDL7LFN,The Kendalls,-0.462385076,-0.290892743,-0.028538992,0.073700106,0,-0.383921176,0.182936188,-0.291205763,-0.028538992,0.073700106,0.001094725,0,-0.623138143,0.27207721
spotify:artist:1zhIzONVRlTfD1VQRauHMl,Chris Cagle,4.312663267,-1.752846228,0.006508132,-0.01047884,5,2.843274774,3.351941484,7.238749819,0.006508132,-0.01047884,-0.033598312,5,1.615777565,2.47063323
spotify:artist:218kRJZ7FJs0hWIk8Ynzhz,Charlie Rich,-0.134528268,-0.179367444,-0.036698804,0.138462221,0,-0.007205461,-0.143839404,-0.355823936,-0.036698804,0.138462221,-0.012216071,0,-0.221542139,0.200451184
spotify:artist:23C7hNBr8GRdsk3VoTSZXh,T.G. Sheppard,-0.280168397,0.392335868,-0.021477708,0.025460278,0,-0.518102377,0.163861015,-0.394250842,-0.021477708,0.025460278,0.006512072,0,-0.583531576,-0.374873647
spotify:artist:23YxuG76RQvo4r7jChCwxK,Eddy Raven,0.112881575,-0.033827473,-0.022180533,0.031231218,0,-0.39927698,0.178430057,-0.331265054,-0.022180533,0.031231218,0.002308848,0,-0.49744078,-0.261046616
spotify:artist:25NQNriVT2YbSW80ILRWJa,Faith Hill,-2.588866393,3.100911089,-0.015881115,-0.016204164,2,-2.499168649,-2.5965566,0.71769917,-0.015881115,-0.016204164,0.044691859,2,-1.436094051,-1.463777186
spotify:artist:27Zy5YAD3Atf56oSRfrfis,The Forester Sisters,0.082556361,0.530133141,-0.025192576,0.045324169,0,-0.08073273,-0.087095052,-0.354186922,-0.025192576,0.045324169,0.010385324,0,-0.204989279,0.11548521
spotify:artist:2BQVRw9md4UKcGUrDXABCD,Tracy Lawrence,14.02676833,0.459092984,-0.006153802,-0.012880659,8,9.742654496,-1.280042751,1.633719884,-0.006153802,-0.012880659,-0.029544089,8,6.761735984,0.177007568
spotify:artist:2IvkS5MXK0vPGnwyJsrEyV,Eric Church,-3.515806364,-5.153792797,0.056995698,0.011862788,6,-2.415352048,4.509232207,-0.6964946,0.056995698,0.011862788,0.009920701,6,-1.763339661,2.441747061
spotify:artist:2M4Yt7oKGoYd0wqU44k4i2,Travis Tritt,1.305619371,0.542542744,-0.008804286,-0.012974258,0,1.942779229,-0.930980409,-1.273795142,-0.008804286,-0.012974258,-0.029484199,0,1.381343034,-0.230985135
spotify:artist:2cNV8vNe2fPFf6OfGOBbSS,Mark Chesnutt,9.273040164,1.244188493,-0.009411123,-0.011603586,1,8.584629308,-2.051482117,-2.279365104,-0.009411123,-0.011603586,-0.024034229,1,5.326519467,-1.050552004
spotify:artist:2d3VHzlOEwXvmBdS4pzOPL,LeAnn Rimes,-1.061177886,1.096036314,-0.016834833,-0.016557239,0,-0.935545801,-0.877598175,0.360670214,-0.016834833,-0.016557239,0.053649542,0,-0.460676265,-0.29259401
spotify:artist:2hJPr4lk7Q8SSvCVBl9fWM,Kip Moore,-5.166042092,-7.533656175,0.059631558,0.013105526,3,-3.911717408,6.809517304,-2.547855849,0.059631558,0.013105526,0.012807277,3,-2.614644646,4.901608514
spotify:artist:2pvPkEAN9xSrDrIVUOxWMB,Dottie West,-0.370818934,-0.271697118,-0.03094569,0.091893195,0,-0.299278778,0.037466228,-0.656771729,-0.03094569,0.091893195,-0.000915373,0,-0.617874453,-0.06832748
spotify:artist:2qFe0FyUMK8XXoyOsfYJr2,SHeDAISY,-3.891650862,4.799593744,-0.016159997,-0.015813439,2,-3.093223484,-3.460478184,0.473729456,-0.016159997,-0.015813439,0.045772192,2,-2.07438348,-2.14533899
spotify:artist:2qgvmDsc4jrqbAbjq1HGM2,Rodney Atkins,-5.708243876,-8.308344742,0.043973997,0.005947128,3,-1.560130994,6.70882465,2.400007994,0.043973997,0.005947128,-0.002680811,3,-0.865858453,5.256586066
spotify:artist:2sgj794K3UaW1ApX28ZUhY,The Kentucky Headhunters,1.070609253,0.51958246,-0.01156562,-0.009150667,0,0.607890604,-0.548389014,-0.544569955,-0.01156562,-0.009150667,-0.026361023,0,0.12793244,0.045179746
spotify:artist:2uB5sjjJwj4kB6TrRGLYJO,Mindy McCready,-5.965980218,7.28628351,-0.016688483,-0.015920998,4,-5.031125857,-4.972280929,0.703788789,-0.016688483,-0.015920998,0.050903205,4,-3.315524516,-3.994098089
