uri,name,iso_nn6_nc2_1,iso_nn6_nc2_2,se_nn6_nc2_1,se_nn6_nc2_2,km_nn6_nc2,iso_nn9_nc3_1,iso_nn9_nc3_2,iso_nn9_nc3_3,se_nn9_nc3_1,se_nn9_nc3_2,se_nn9_nc3_3,km_nn9_nc3,iso_n6_p1,iso_n6_p2
spotify:artist:01WjpKiWVNurV5hjIadB8C,Filter,-0.827826987,2.454766613,-0.009891068,0.059506793,2,-0.609793956,1.974028734,-0.166048684,-0.009891068,0.059506793,-0.012481511,2,-1.098138219,0.959740294
spotify:artist:02NfyD6AlLA12crYzw5YcR,Jane's Addiction,-2.065492117,8.415245839,-0.012815036,0.068954276,6,-2.64698496,8.068463927,-1.208217217,-0.012815036,0.068954276,0.008179267,6,-2.007660505,4.328638448
spotify:artist:02da1vDJ2hWqfK7aJL6SJm,Soul Asylum,5.967168276,4.189702449,-0.018383381,0.005572749,7,4.841378675,5.086020125,3.594868103,-0.018383381,0.005572749,-0.00092565,7,1.92482801,2.52339611
spotify:artist:0539gq2LM2VDs01rp8gnGz,Submersed,-2.575313628,-1.662406557,0.062961183,-0.00597414,4,-2.373169082,-1.891013753,0.370791375,0.062961183,-0.00597414,-0.100759507,4,-1.634556454,-1.115581107
spotify:artist:07jc1IMGtecDZzOL9cP50t,Days Of The New,-1.721144372,10.20022221,-0.009354086,0.06015351,6,-2.772502341,8.667534481,-0.425490256,-0.009354086,0.06015351,-0.00494033,6,-2.67478561,4.140453951
spotify:artist:08ct2eZF5lUPdJpHwNKWof,Hootie & The Blowfish,7.224596904,-3.357667454,-0.021837022,-0.026783543,3,6.527891492,-1.468260134,-0.04523782,-0.021837022,-0.026783543,0.002375729,3,4.421619633,-0.657205352
spotify:artist:0DrXhci3WAyo0WJv1RBOG6,12 Stones,-4.516072435,-3.057077975,0.064790418,-0.007047343,0,-3.634779663,-3.077544175,0.707653213,0.064790418,-0.007047343,0.001441063,0,-2.182276477,-1.710714147
spotify:artist:0EyuKHE1AeE9lWUF8mzKVp,Fuel,-8.730842825,-5.971670091,0.054555979,-0.001609883,8,-6.975618137,-6.099583084,1.287964953,0.054555979,-0.001609883,-0.053977458,8,-4.381639752,-3.196662028
spotify:artist:0Grjlu7ncIuCaSYvCs9fcd,New Radicals,-0.250342584,-0.18465828,-0.02179181,-0.026665351,2,0.346801796,-0.452574895,-1.81409776,-0.02179181,-0.026665351,0.001036499,2,1.190053121,-0.26073935
spotify:artist:0Gw3a3BkWLwsMLFbOBmo6Q,Cold,-4.516072435,-3.057077975,0.064790418,-0.007047343,0,-3.634779663,-3.077544175,0.707653213,0.064790418,-0.007047343,0.001441063,0,-2.182276477,-1.710714147
spotify:artist:0L6Gwm0JDrgIQJfjarWSUR,Edwin McCain,-0.080428015,-0.239913576,-0.022059435,-0.029064498,2,0.074382473,0.02175891,0.108677258,-0.022059435,-0.029064498,0.004884653,2,-0.107941841,-0.16109969
spotify:artist:0ODQJS4mk7rVBJXjdqByX6,Cracker,-0.768879779,0.566192644,-0.0186966,0.006042723,2,-0.42329417,0.334460115,-0.162582348,-0.0186966,0.006042723,-0.00173929,2,-0.249180029,0.575563112
