uri,name,iso_nn6_nc2_1,iso_nn6_nc2_2,se_nn6_nc2_1,se_nn6_nc2_2,km_nn6_nc2,iso_nn9_nc3_1,iso_nn9_nc3_2,iso_nn9_nc3_3,se_nn9_nc3_1,se_nn9_nc3_2,se_nn9_nc3_3,km_nn9_nc3
spotify:artist:001aJOc7CSQVo3XzoLG4DK,One Way,1.947723581,0.381296681,0.011542128,-0.005389388,5,-1.013131109,-0.521066206,0.532044202,0.011542128,-0.005389388,-0.014752098,5
spotify:artist:00tVTdpEhQQw1bqdu8RCx2,Blue Öyster Cult,-0.371262864,-0.298361828,-0.01197068,0.00075441,0,-0.94125098,-0.053595652,0.48413436,-0.01197068,0.00075441,-0.004029006,0
spotify:artist:01Ppu7N8uYJI8SAONo2YZA,Melissa Etheridge,-1.574280592,-1.279213757,-0.013081959,0.001587347,0,-0.749857153,-0.253647836,-1.14120666,-0.013081959,0.001587347,0.053016085,0
spotify:artist:01W8kYNqFHyKicPfR0pLwO,England Dan & John Ford Coley,-1.479115023,-2.38193258,-0.011531308,0.000668234,4,-1.89937596,-2.130514059,-1.088570569,-0.011531308,0.000668234,-0.002428613,4
spotify:artist:01Wck2m10xhdxUrLaMq60y,Rene & Angela,1.986850026,0.062321103,0.012193473,-0.005265133,5,-0.556372268,-0.860711717,0.506585665,0.012193473,-0.005265133,-0.013878743,5
spotify:artist:02JTFUpX3CgLWXNKEXIvcb,Public Announcement,-0.806669209,0.277522809,0.01874802,-0.004248206,5,0.24824531,-0.334543383,1.393360639,0.01874802,-0.004248206,-0.003234071,5
spotify:artist:047D9GgqEzyMoULd2oKr7G,Alexander O'Neal,1.531756393,0.388809734,0.01314053,-0.005093576,5,-0.071409662,-0.456365003,0.685709997,0.01314053,-0.005093576,-0.012649657,5
spotify:artist:04LIHk1SobiQwt2tlupoAV,Leo Sayer,-1.597541931,-1.984952422,-0.011475845,0.000658727,4,-1.412613205,-1.404630474,-0.524340195,-0.011475845,0.000658727,-0.002200443,4
spotify:artist:0543y7yrvny4KymoaneT4W,Peter Frampton,-0.244454983,-2.949850958,-0.011721854,0.000700955,4,-2.038566441,-2.051987641,-0.86741644,-0.011721854,0.000700955,-0.003393662,4
spotify:artist:05RZIdfz59ZW2FvFuwnmNK,K-Ci & JoJo,0.913101607,0.172775208,0.018763872,-0.004196301,5,-0.046188749,-0.26600694,0.909610445,0.018763872,-0.004196301,-0.003349659,5
spotify:artist:05oH07COxkXKIMt6mIPRee,Brandy,2.223231189,0.067708529,0.019673064,-0.006129537,5,-0.903318846,-1.689230117,3.089239496,0.019673064,-0.006129537,-0.00043808,5
spotify:artist:07XSN3sPlIlB2L2XNcTwJw,KISS,-0.226931568,0.038130198,-0.012059843,0.000774156,0,-0.447297034,0.066963431,0.49753916,-0.012059843,0.000774156,-0.004225649,0
