artist_uri,artist_name,popularity,followers,genres
spotify:artist:7urq0VfqxEYEEiZUkebXT4,112,65,1003390,atl hip hop; boy band; contemporary r&b; dance pop; gangster rap; hip pop; pop rap; r&b; southern hip hop; urban contemporary
spotify:artist:3DmG65yHQsMms7WAvrZOdt,Enigma,62,715293,downtempo; new age
spotify:artist:3zTOe1BtyTkwNvYZOxXktX,Joe,65,1586163,contemporary r&b; dance pop; hip pop; neo soul; r&b; urban contemporary
spotify:artist:2HMuzFmTtwL4ur1zJNCU7f,Arcadia,31,26421,new romantic; new wave; new wave pop; synthpop
spotify:artist:41Q0HrwWBtuUkJc7C1Rp6K,311,61,880585,alternative metal; alternative rock; funk metal; funk rock; nu metal; pop rock; rap rock; reggae fusion; rock
spotify:artist:51FyBBOW464toW099BsW8z,Tha Eastsidaz,48,478107,g funk; gangster rap; hip hop; hyphy; rap; west coast rap; west coast trap
spotify:artist:2aS6jYh7ysTL1ZUsHneNgM,Berlin,62,439656,new romantic; new wave; new wave pop; soft rock; synthpop
spotify:artist:2S8UlyXW4JjjHcbeg8ddIo,702,54,667646,contemporary r&b; girl group; hip pop; neo soul; quiet storm; r&b; urban contemporary
spotify:artist:6819eS3ZHurH0zed5dtPxj,American Idols,0,499,
spotify:artist:3ICyfoySNDZqtBVmaBT84I,War,57,369580,classic soul; funk; quiet storm; soul
spotify:artist:6IE6z7DcZIT4Ml3Fh5Ivch,Selena,70,2988451,latin pop; mexican pop; tejano
spotify:artist:6VOkIa4pRNEdugeOdePtRp,TRU,39,120168,dirty south rap; gangster rap; new orleans rap; southern hip hop; trap
spotify:artist:7dXeJ8kAqTqtvNWQNV3sdU,Surface,45,23662,contemporary r&b; funk; j-poprock; quiet storm; urban contemporary
spotify:artist:3vbKDsSS70ZX9D2OcvbZmS,Beck,66,1370943,alternative rock; anti-folk; indie rock; modern rock; permanent wave; rock
spotify:artist:5g2n2H9ndqvejERtwZ1rHh,The Rascals,39,32050,bubblegum pop
spotify:artist:4LjrTfWcvqeHDcH6kr2Msd,John Lennon & Yoko Ono,0,2936,
spotify:artist:0Xf8oDAJYd2D0k3NLI19OV,CHIC,60,618373,disco; funk; post-disco; quiet storm; soul
spotify:artist:4ghjRm4M2vChDfTUycx0Ce,New Found Glory,59,747416,easycore; emo; pop punk
spotify:artist:5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys,75,4777129,boy band; dance pop
spotify:artist:0xOeVMOz2fVg5BJY3N6akT,Jaden,69,1811559,hip hop; pop; rap
spotify:artist:5S6hjAxgxjsLylsTtMIimO,Saliva,61,808075,alternative metal; nu metal; rap metal; rap rock
spotify:artist:56dO9zeHKuU5Gvfc2kxHNw,Chevelle,63,1593663,alternative metal; christian rock; nu metal; post-grunge; rap rock; rock
spotify:artist:7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra,71,3459106,album rock; art rock; beatlesque; classic rock; glam rock; mellow gold; rock; soft rock; symphonic rock
spotify:artist:4IR8ZkpbyyKrqsIzchF3NB,Crossfade,57,779771,alternative metal; nu metal; post-grunge; rap rock
spotify:artist:4nCzT3o7lMgCWBcmdwCMsT,Default,49,228259,alternative metal; canadian rock; nu metal; pop rock; post-grunge
spotify:artist:2MqhkhX4npxDZ62ObR5ELO,Hoobastank,66,2184427,alternative metal; funk metal; nu metal; pop rock; post-grunge; rap rock
spotify:artist:0niJkG4tKkne3zwr7I8n9n,Finger Eleven,61,622325,alternative metal; canadian rock; funk metal; nu metal; post-grunge; rap rock
spotify:artist:1UdQqCUR7RwB9YYJONwbdM,Trapt,58,992339,alternative metal; nu metal; pop rock; post-grunge; rap rock
spotify:artist:6Uhp7WA6sjm5ZL6Xz561de,Living Colour,53,324266,alternative metal; alternative rock; funk metal; funk rock; hard rock; rap rock; rock
spotify:artist:1nSRa2YjjFWJLHGKM07oGQ,Blaque,47,431336,contemporary r&b; dance pop; girl group; hip pop; r&b; urban contemporary
spotify:artist:6LqNN22kT3074XbTVUrhzX,Kesha,76,7442921,dance pop; pop; post-teen pop
spotify:artist:2MyNAoQL07EABerr6yhoT4,Leif Garrett,39,23419,bubblegum pop; classic uk pop; disco
spotify:artist:7iUhmKPNkkPPS6FCQxqtNq,8Ball & MJG,46,273579,dirty south rap; gangster rap; houston rap; memphis hip hop; southern hip hop; trap
spotify:artist:2yEwvVSSSUkcLeSTNyHKh8,TOOL,70,2841599,alternative metal; alternative rock; art rock; nu metal; progressive metal; progressive rock; rock
spotify:artist:2WKdxPFRD7IqZvlIAvhMgY,Fugees,66,1158104,east coast hip hop; gangster rap; hip hop; new jersey rap
spotify:artist:6oMuImdp5ZcFhWP0ESe6mG,Migos,77,12591111,atl hip hop; hip hop; pop rap; rap; trap
