,node_artist,edge_artist,followers,genres,popularity,_type,edge_uri
0,spotify:artist:2S8UlyXW4JjjHcbeg8ddIo,Monifah,272610,contemporary r&b; hip pop; neo soul; new jack swing; r&b; urban contemporary,44,artist,spotify:artist:7peqq4aACFkBwIWGG0YRJ9
1,spotify:artist:2S8UlyXW4JjjHcbeg8ddIo,Faith Evans,1364257,contemporary r&b; hip hop; hip pop; neo soul; quiet storm; r&b; urban contemporary,64,artist,spotify:artist:5NDMothbpdpq2xHqSjrrWn
2,spotify:artist:2S8UlyXW4JjjHcbeg8ddIo,Xscape,1366313,atl hip hop; contemporary r&b; girl group; hip hop; hip pop; neo soul; quiet storm; r&b; urban contemporary,51,artist,spotify:artist:5z2cHsOmmmWcAPNG1oEhw0
3,spotify:artist:2S8UlyXW4JjjHcbeg8ddIo,Changing Faces,499393,contemporary r&b; girl group; hip pop; neo soul; new jack swing; quiet storm; r&b; urban contemporary,41,artist,spotify:artist:3lJ6jvOiNY46L2juqXufpf
4,spotify:artist:2S8UlyXW4JjjHcbeg8ddIo,Adina Howard,359005,contemporary r&b; hip pop; neo soul; r&b; urban contemporary,47,artist,spotify:artist:266SmBZTt4zRzaKEANWbfQ
5,spotify:artist:2S8UlyXW4JjjHcbeg8ddIo,SWV,1637514,contemporary r&b; girl group; hip hop; hip pop; neo soul; new jack swing; quiet storm; r&b; urban contemporary,60,artist,spotify:artist:2NmK5FyrQ18HOPXq1UBzqa
6,spotify:artist:2S8UlyXW4JjjHcbeg8ddIo,Blaque,430835,contemporary r&b; dance pop; girl group; hip pop; r&b; urban contemporary,47,artist,spotify:artist:1nSRa2YjjFWJLHGKM07oGQ
7,spotify:artist:2S8UlyXW4JjjHcbeg8ddIo,Lil' Mo,249935,contemporary r&b; hip pop; r&b; urban contemporary,52,artist,spotify:artist:5wBDD4FNJvob5fAGkAIQ92
8,spotify:artist:2S8UlyXW4JjjHcbeg8ddIo,Nivea,650405,atl hip hop; contemporary r&b; hip pop; pop r&b; r&b; urban contemporary,47,artist,spotify:artist:15Dh5PvHQj909E0RgAe0aN
9,spotify:artist:2S8UlyXW4JjjHcbeg8ddIo,Soul For Real,568912,boy band; contemporary r&b; hip pop; new jack swing; quiet storm; r&b; urban contemporary,53,artist,spotify:artist:296LotOmbj7eOX7r9l46fK
10,spotify:artist:2S8UlyXW4JjjHcbeg8ddIo,Kelly Price,896646,contemporary r&b; hip pop; neo soul; quiet storm; r&b; urban contemporary,54,artist,spotify:artist:49FeZO3eSrJs7oH7lYLU1r
11,spotify:artist:2S8UlyXW4JjjHcbeg8ddIo,Tamia,1388308,canadian pop; contemporary r&b; dance pop; hip pop; neo soul; quiet storm; r&b; urban contemporary,62,artist,spotify:artist:0le01dl1WllSHhjEXRl4in
12,spotify:artist:2S8UlyXW4JjjHcbeg8ddIo,Brownstone,383227,contemporary r&b; girl group; hip pop; neo soul; quiet storm; r&b; urban contemporary,45,artist,spotify:artist:6dQgkiJm1fRkcqKOvPzysr
13,spotify:artist:2S8UlyXW4JjjHcbeg8ddIo,Case,779415,contemporary r&b; hip hop; hip pop; neo soul; new jack swing; quiet storm; r&b; urban contemporary,56,artist,spotify:artist:5aEWnrN8h3MhuFUPRfaVuy
14,spotify:artist:2S8UlyXW4JjjHcbeg8ddIo,Monica,2250156,contemporary r&b; dance pop; hip pop; neo soul; pop r&b; r&b; urban contemporary,62,artist,spotify:artist:6nzxy2wXs6tLgzEtqOkEi2
15,spotify:artist:2S8UlyXW4JjjHcbeg8ddIo,Tweet,537748,contemporary r&b; hip hop; hip pop; neo soul; r&b; urban contemporary,49,artist,spotify:artist:6zDBeei6hHRiZdAJ6zoTCo
16,spotify:artist:2S8UlyXW4JjjHcbeg8ddIo,Total,438870,contemporary r&b; hip hop; hip pop; neo soul; r&b; urban contemporary,54,artist,spotify:artist:1urjDGTd4iBze91Z1W1gu7
17,spotify:artist:2S8UlyXW4JjjHcbeg8ddIo,H-Town,765551,boy band; contemporary r&b; hip pop; neo soul; new jack swing; quiet storm; r&b; urban contemporary,46,artist,spotify:artist:21gGD9dUby5ls0belA1wqZ
18,spotify:artist:2S8UlyXW4JjjHcbeg8ddIo,Jodeci,1725380,contemporary r&b; hip hop; hip pop; neo soul; new jack swing; quiet storm; r&b; urban contemporary,56,artist,spotify:artist:1eNkUXHPaXyuyC8NAgzykK
