,node_artist,edge_artist,followers,genres,popularity,_type,edge_uri
840,spotify:artist:1zhIzONVRlTfD1VQRauHMl,Craig Morgan,934150,contemporary country; country; country road; modern country rock,57,artist,spotify:artist:6ktyNEnEukKzskQEiXgCFD
841,spotify:artist:1zhIzONVRlTfD1VQRauHMl,Josh Gracin,224012,contemporary country; country; country pop; country road; modern country rock,49,artist,spotify:artist:1456WwI15Lm9CktCzkLZvm
842,spotify:artist:1zhIzONVRlTfD1VQRauHMl,Trent Tomlinson,200179,contemporary country; country; country pop; country road; modern country rock; redneck,46,artist,spotify:artist:1Zn69emN3uZsF6YwCrkgYp
843,spotify:artist:1zhIzONVRlTfD1VQRauHMl,Montgomery Gentry,1311718,contemporary country; country; country road; modern country rock; redneck,60,artist,spotify:artist:3bGXaFVQLASmDMdjjeJr8a
844,spotify:artist:1zhIzONVRlTfD1VQRauHMl,Jason Michael Carroll,316652,contemporary country; country; country pop; country road; modern country rock,45,artist,spotify:artist:6vgqbvuLEUcrg7SB1kRTYE
845,spotify:artist:1zhIzONVRlTfD1VQRauHMl,Phil Vassar,314005,contemporary country; country; country road; modern country rock,47,artist,spotify:artist:1XhhO2dTs2fKyhILj0aam6
846,spotify:artist:1zhIzONVRlTfD1VQRauHMl,Clay Walker,1074885,contemporary country; country; country road; country rock; modern country rock,58,artist,spotify:artist:4MPkNgar5uTd8Sqvrr7par
847,spotify:artist:1zhIzONVRlTfD1VQRauHMl,Trace Adkins,2341921,contemporary country; country; country road,62,artist,spotify:artist:79FMDwzZQxHgSkIYBl3ODU
848,spotify:artist:1zhIzONVRlTfD1VQRauHMl,Emerson Drive,253115,alberta country; canadian contemporary country; canadian country; contemporary country; country; country road; modern country rock,45,artist,spotify:artist:1efrXlPhLKv7PvgUxVcqIS
849,spotify:artist:1zhIzONVRlTfD1VQRauHMl,Gary Allan,996142,contemporary country; country; country road; country rock; modern country rock,60,artist,spotify:artist:37W8SKV5Vc8lcGtdyWCA5m
