,node_artist,edge_artist,followers,genres,popularity,_type,edge_uri
20,spotify:artist:4IR8ZkpbyyKrqsIzchF3NB,12 Stones,388227,alternative metal; christian alternative rock; christian hard rock; christian rock; nu metal; post-grunge; rap rock,54,artist,spotify:artist:0DrXhci3WAyo0WJv1RBOG6
21,spotify:artist:4IR8ZkpbyyKrqsIzchF3NB,10 Years,590558,alternative metal; christian rock; nu metal; post-grunge; rap rock,57,artist,spotify:artist:0REMf7H0VP6DwfZ9MbuWph
22,spotify:artist:4IR8ZkpbyyKrqsIzchF3NB,Default,228033,alternative metal; canadian rock; nu metal; pop rock; post-grunge,49,artist,spotify:artist:4nCzT3o7lMgCWBcmdwCMsT
23,spotify:artist:4IR8ZkpbyyKrqsIzchF3NB,TRUSTcompany,116798,alabama metal; alternative metal; christian rock; nu metal; post-grunge; rap rock,50,artist,spotify:artist:21ALJSG7U07dShegeJQ2xA
24,spotify:artist:4IR8ZkpbyyKrqsIzchF3NB,Trapt,991505,alternative metal; nu metal; pop rock; post-grunge; rap rock,58,artist,spotify:artist:1UdQqCUR7RwB9YYJONwbdM
25,spotify:artist:4IR8ZkpbyyKrqsIzchF3NB,Smile Empty Soul,294415,alternative metal; christian rock; nu metal; post-grunge; rap rock,48,artist,spotify:artist:1KEUVZo7CMTSJoM8doulOT
26,spotify:artist:4IR8ZkpbyyKrqsIzchF3NB,The Exies,70331,alternative metal; christian rock; nu metal; post-grunge; rap rock,47,artist,spotify:artist:5V5NZ8y72BgxpB6rN4XxtI
27,spotify:artist:4IR8ZkpbyyKrqsIzchF3NB,Submersed,62766,alternative metal; christian rock; hard alternative; nu metal; post-grunge,44,artist,spotify:artist:0539gq2LM2VDs01rp8gnGz
28,spotify:artist:4IR8ZkpbyyKrqsIzchF3NB,Seether,2955190,alternative metal; modern rock; nu metal; post-grunge; south african rock,69,artist,spotify:artist:6B5c4sch27tWHAGdarpPaW
29,spotify:artist:4IR8ZkpbyyKrqsIzchF3NB,Earshot,111337,alternative metal; hard alternative; industrial metal; nu metal; rap rock,45,artist,spotify:artist:6eeYhqOX2cpsiHY6gVuvPA
30,spotify:artist:4IR8ZkpbyyKrqsIzchF3NB,Cold,390344,alternative metal; industrial metal; nu metal; post-grunge; rap rock,53,artist,spotify:artist:0Gw3a3BkWLwsMLFbOBmo6Q
31,spotify:artist:4IR8ZkpbyyKrqsIzchF3NB,Sick Puppies,816629,alternative metal; christian rock; nu metal; post-grunge; rap rock,60,artist,spotify:artist:7qAcXJgt1PWnxwUgxMdyuk
32,spotify:artist:4IR8ZkpbyyKrqsIzchF3NB,Shinedown,3570903,alternative metal; nu metal; post-grunge,71,artist,spotify:artist:70BYFdaZbEKbeauJ670ysI
33,spotify:artist:4IR8ZkpbyyKrqsIzchF3NB,Hoobastank,2182317,alternative metal; funk metal; nu metal; pop rock; post-grunge; rap rock,66,artist,spotify:artist:2MqhkhX4npxDZ62ObR5ELO
34,spotify:artist:4IR8ZkpbyyKrqsIzchF3NB,Fuel,716274,alternative metal; alternative rock; neo mellow; nu metal; pop rock; post-grunge; rap rock; rock,57,artist,spotify:artist:0EyuKHE1AeE9lWUF8mzKVp
35,spotify:artist:4IR8ZkpbyyKrqsIzchF3NB,Evans Blue,245210,alternative metal; canadian rock; christian rock; nu metal; post-grunge; rap rock,49,artist,spotify:artist:6pDRa5fS3myWSP0fpIUcNl
36,spotify:artist:4IR8ZkpbyyKrqsIzchF3NB,Finger Eleven,621706,alternative metal; canadian rock; funk metal; nu metal; post-grunge; rap rock,61,artist,spotify:artist:0niJkG4tKkne3zwr7I8n9n
37,spotify:artist:4IR8ZkpbyyKrqsIzchF3NB,Saving Abel,767087,alternative metal; nu metal; pop rock; post-grunge,57,artist,spotify:artist:2AVVj8ezW2mJ0v8u7XydiF
38,spotify:artist:4IR8ZkpbyyKrqsIzchF3NB,Rev Theory,245665,alternative metal; christian rock; nu metal; post-grunge; rap rock; rebel blues,52,artist,spotify:artist:10n5DVRlZbjbZ5ffpwpn6l
39,spotify:artist:4IR8ZkpbyyKrqsIzchF3NB,Hinder,1640042,alternative metal; nu metal; pop rock; post-grunge,61,artist,spotify:artist:6BMhCQJYHxxKAeqYS1p5rY
