,Artist ,Certified Units ,,,,
(In Millions),Gold ®,Platinum ®,Multi-Platinum ™,Diamond ®,Type ,
SHARE,,,,,,
THE BEATLES,183,48,42,26,6,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GARTH BROOKS,157,31,31,17,9,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ELVIS PRESLEY,139,101,57,25,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EAGLES,120,13,13,11,3,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LED ZEPPELIN,112.5,19,18,14,5,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MICHAEL JACKSON,89,15,13,9,2,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BILLY JOEL,85,19,17,13,2,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ELTON JOHN,79,38,28,14,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AC/DC,75,22,20,12,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PINK FLOYD,75,19,15,12,2,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BRUCE SPRINGSTEEN,71,23,17,11,2,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AEROSMITH,69.5,25,18,12,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GEORGE STRAIT,69,39,33,13,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MARIAH CAREY,69,16,14,10,2,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BARBRA STREISAND,68.5,51,30,12,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE ROLLING STONES,66.5,43,28,11,1,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MADONNA,64.5,20,17,12,2,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
METALLICA,63,13,13,11,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EMINEM,61.5,12,11,8,3,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WHITNEY HOUSTON,60,11,9,7,3,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
VAN HALEN,56.5,14,13,12,2,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FLEETWOOD MAC,54.5,14,9,8,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CELINE DION,51,13,11,8,2,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
U2,51,16,16,11,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NEIL DIAMOND,49.5,40,21,12,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ALABAMA,49,27,21,10,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOURNEY,49,13,11,9,2,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KENNY G,48,15,11,8,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SHANIA TWAIN,48,5,5,4,3,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KENNY ROGERS,47.5,28,17,7,1,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TAYLOR SWIFT,46,9,9,7,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BOB SEGER & THE SILVER BULLET BAND,44.5,14,13,7,1,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GUNS N' ROSES,44.5,8,7,5,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ALAN JACKSON,43.5,18,15,8,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SANTANA,43.5,21,10,7,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
QUEEN,43,20,12,8,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
REBA MC ENTIRE,41,27,19,9,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ERIC CLAPTON,40,23,11,7,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHICAGO,38.5,23,18,8,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SIMON & GARFUNKEL,38.5,12,11,7,1,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FOREIGNER,38,11,9,7,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROD STEWART,38,27,19,10,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TIM MCGRAW,37.5,14,11,9,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BACKSTREET BOYS,37,5,5,3,2,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
2 PAC,36.5,10,9,6,2,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BOB DYLAN,36,33,15,6,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DEF LEPPARD,35.5,11,8,5,2,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BON JOVI,34.5,14,11,5,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BRITNEY SPEARS,34.5,9,8,4,2,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAVE MATTHEWS BAND,34.5,17,14,7,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE DOORS,34,20,14,5,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOHN DENVER,33.5,22,13,7,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PHIL COLLINS,33.5,10,7,6,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JAMES TAYLOR,33,20,14,5,1,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE CHICKS,33,5,5,4,2,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
R. KELLY,32,11,9,6,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KENNY CHESNEY,31.5,22,15,5,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PEARL JAM,31.5,12,7,3,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TOM PETTY & THE HEARTBREAKERS,31.5,15,8,5,1,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WILLIE NELSON,31.5,18,15,6,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ADELE,31,4,4,4,2,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BOSTON,31,5,5,4,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LINDA RONSTADT,30,17,13,7,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BEYONCE,29.5,7,6,6,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LINKIN PARK,29.5,9,8,3,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
OZZY OSBOURNE,29.5,15,12,9,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LYNYRD SKYNYRD,28.5,20,13,7,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BEE GEES,28,15,9,2,1,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CREEDENCE CLEARWATER REVIVAL,28,13,9,6,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MANNHEIM STEAMROLLER,28,18,8,4,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MICHAEL BOLTON,28,9,7,6,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
N SYNC,28,4,4,4,2,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NIRVANA,28,8,8,3,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BARRY MANILOW,27.5,24,13,6,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BROOKS & DUNN,27.5,12,11,6,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JAY-Z,27.5,14,13,8,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOHN MELLENCAMP,27.5,15,12,5,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RED HOT CHILI PEPPERS,27.5,11,8,6,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BOYZ II MEN,27,7,5,4,1,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FRANK SINATRA,27,34,10,4,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LUTHER VANDROSS,27,20,18,7,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ENYA,26.5,9,8,5,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KANYE WEST,26.5,10,9,7,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STEVE MILLER BAND,26.5,10,5,3,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JANET JACKSON,26,8,8,6,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RUSH,26,24,14,3,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DRAKE,25.5,8,7,5,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FAITH HILL,25.5,7,6,6,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CREED,25,4,4,4,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HOOTIE & THE BLOWFISH,25,3,3,2,1,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LIL WAYNE,25,11,9,6,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MOTLEY CRUE,25,12,8,5,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TOBY KEITH,25,18,12,5,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ZZ TOP,25,11,7,4,1,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
R.E.O. SPEEDWAGON,24.5,13,8,4,1,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE CARPENTERS,24.5,13,8,6,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GREEN DAY,24,9,7,4,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NICKELBACK,24,6,6,4,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
VINCE GILL,24,13,11,6,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
"EARTH, WIND & FIRE",23.5,14,9,6,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOHNNY CASH,23.5,19,10,6,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KID ROCK,23.5,7,6,4,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SADE,23.5,8,7,6,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE CARS,23.5,7,6,5,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
USHER,23.5,6,5,3,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BEASTIE BOYS,23,7,7,6,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JIMI HENDRIX,23,16,10,6,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JIMMY BUFFETT,23,17,9,3,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NELLY,23,7,5,3,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
OUTKAST,23,7,7,4,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RIHANNA,23,8,8,7,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TLC,23,4,4,3,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CARRIE UNDERWOOD,22.5,8,7,4,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HEART,22.5,14,9,6,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LIONEL RICHIE,22.5,9,6,3,1,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE BEACH BOYS,22.5,20,9,6,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DOOBIE BROTHERS,22,11,7,4,1,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE POLICE,22,8,8,4,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BOB MARLEY & THE WAILERS,21.5,11,2,2,1,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GENESIS,21.5,13,6,4,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JUSTIN BIEBER,21.5,11,8,5,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KISS,21,26,10,3,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MEAT LOAF,21,5,3,2,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE NOTORIOUS B.I.G.,21,5,5,3,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE WHO,21,18,12,5,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ALANIS MORISSETTE,20.5,4,3,2,1,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOSH GROBAN,20.5,10,5,4,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MARY J. BLIGE,20.5,13,8,6,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PRINCE,20.5,18,11,4,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ALICIA KEYS,20,6,6,4,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
R.E.M.,20,13,7,4,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GRATEFUL DEAD,19.5,21,6,4,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
"HANK WILLIAMS, JR.",19.5,23,8,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NORAH JONES,19.5,5,4,3,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SMASHING PUMPKINS,19.5,9,6,2,1,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STEVIE WONDER,19.5,12,7,2,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TONI BRAXTON,19.5,6,3,3,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MATCHBOX TWENTY,19,5,3,3,1,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CAROLE KING,18.5,8,3,1,1,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JACKSON BROWNE,18.5,11,8,3,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JANIS JOPLIN,18.5,8,5,3,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JEWEL,18.5,5,4,2,1,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RASCAL FLATTS,18.5,8,7,5,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SARAH MC LACHLAN,18.5,8,5,4,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHRIS BROWN,18,10,8,5,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
"CROSBY, STILLS, NASH & YOUNG",18,4,4,3,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DESTINY'S CHILD,18,6,6,3,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
P!NK,18,8,8,5,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
