Artist,Certified Units,Gold,Platinum,Multi-Platinum,Diamond,Standard
THE BEATLES,183,48,42,26,6,Standard
GARTH BROOKS,157,31,31,17,9,Standard
ELVIS PRESLEY,139,101,57,25,1,All types
EAGLES,120,13,13,11,3,All types
LED ZEPPELIN,112.5,19,18,14,5,Standard
MICHAEL JACKSON,89,15,13,9,2,All types
BILLY JOEL,85,19,17,13,2,All types
ELTON JOHN,79,38,28,14,1,All types
AC/DC,75,22,20,12,1,All types
PINK FLOYD,75,19,15,12,2,All types
BRUCE SPRINGSTEEN,71,23,17,11,2,All types
AEROSMITH,69.5,25,18,12,1,All types
GEORGE STRAIT,69,39,33,13,0,All types
MARIAH CAREY,69,16,14,10,2,All types
BARBRA STREISAND,68.5,51,30,12,0,Standard
THE ROLLING STONES,66.5,43,28,11,1,Standard
MADONNA,64.5,20,17,12,2,All types
METALLICA,63,13,13,11,1,All types
EMINEM,61.5,12,11,8,3,All types
WHITNEY HOUSTON,60,11,9,7,3,All types
VAN HALEN,56.5,14,13,12,2,Standard
FLEETWOOD MAC,54.5,14,9,8,1,All types
CELINE DION,51,13,11,8,2,All types
U2,51,16,16,11,1,All types
NEIL DIAMOND,49.5,40,21,12,0,Standard
ALABAMA,49,27,21,10,0,All types
JOURNEY,49,13,11,9,2,All types
KENNY G,48,15,11,8,1,All types
SHANIA TWAIN,48,5,5,4,3,All types
KENNY ROGERS,47.5,28,17,7,1,Standard
TAYLOR SWIFT,46,9,9,7,1,All types
BOB SEGER & THE SILVER BULLET BAND,44.5,14,13,7,1,Standard
GUNS N' ROSES,44.5,8,7,5,1,All types
ALAN JACKSON,43.5,18,15,8,0,All types
SANTANA,43.5,21,10,7,1,All types
QUEEN,43,20,12,8,0,All types
REBA MC ENTIRE,41,27,19,9,0,All types
ERIC CLAPTON,40,23,11,7,1,All types
CHICAGO,38.5,23,18,8,0,Standard
SIMON & GARFUNKEL,38.5,12,11,7,1,Standard
FOREIGNER,38,11,9,7,0,All types
ROD STEWART,38,27,19,10,0,All types
TIM MCGRAW,37.5,14,11,9,0,All types
BACKSTREET BOYS,37,5,5,3,2,All types
2 PAC,36.5,10,9,6,2,Standard
BOB DYLAN,36,33,15,6,0,Standard
DEF LEPPARD,35.5,11,8,5,2,All types
BON JOVI,34.5,14,11,5,1,All types
BRITNEY SPEARS,34.5,9,8,4,2,All types
DAVE MATTHEWS BAND,34.5,17,14,7,0,All types
THE DOORS,34,20,14,5,1,All types
JOHN DENVER,33.5,22,13,7,0,All types
PHIL COLLINS,33.5,10,7,6,1,All types
JAMES TAYLOR,33,20,14,5,1,Standard
THE CHICKS,33,5,5,4,2,All types
R. KELLY,32,11,9,6,0,All types
