"""Weird Al"" Yankovic",58,678103,spotify:artist:1bDWGdIC2hardyt55nlQgG
*NSYNC,66,1867070,spotify:artist:6Ff53KvcvAj5U7Z1vojB5o
...And You Will Know Us by the Trail of Dead,41,72778,spotify:artist:6wBUn8gMP85n8dPu6LoUcF
"10,000 Maniacs",51,324442,spotify:artist:0MBIKH9DjtBkv8O3nS6szj
2 Chainz,77,7409965,spotify:artist:17lzZA2AlOHwCwFALHttmp
2 LIVE CREW,47,435223,spotify:artist:58Dx4HPzeOO3dbpD9YYEes
2 Pac's Outlawz,0,54,spotify:artist:3R0dLbQvI6x16t2bLaE9wE
21 Savage,87,11742812,spotify:artist:1URnnhqYAYcrqrcwql10ft
2Pac,80,13644497,spotify:artist:1ZwdS5xdxEREPySFridCfh
3 Doors Down,70,3811209,spotify:artist:2RTUTCvo6onsAnheUk3aL9
3LW,45,543850,spotify:artist:2lFHVcUeJ9Gq6AZiU3ZAOa
3rd Bass,35,114573,spotify:artist:6EFL6smxzRtpwlQvZFldUc
4 Non Blondes,63,397234,spotify:artist:0Je74SitssvJg1w4Ra2EK7
5 Seconds of Summer,81,8879578,spotify:artist:5Rl15oVamLq7FbSb0NNBNy
50 Cent,83,9479137,spotify:artist:3q7HBObVc0L8jNeTe5Gofh
69 Boyz,39,93478,spotify:artist:7qeBsFLeNEuzrDhDMbnDwF
6ix9ine,72,6705459,spotify:artist:7gZfnEnfiaHzxARJ2LeXrf
6LACK,76,3684071,spotify:artist:4IVAbR2w4JJNJDDRFP3E83
8Ball & MJG,46,272798,spotify:artist:7iUhmKPNkkPPS6FCQxqtNq
98º,55,402360,spotify:artist:6V03b3Y36lolYP2orXn8mV
A Boogie Wit da Hoodie,81,6782813,spotify:artist:31W5EY0aAly4Qieq6OFu6I
A Day To Remember,70,2104057,spotify:artist:4NiJW4q9ichVqL1aUsgGAN
A Perfect Circle,62,1592204,spotify:artist:4DFhHyjvGYa9wxdHUjtDkc
A Taste Of Honey,44,24672,spotify:artist:1ii6e2pv8VIRwnTER71rMl
A Tribe Called Quest,66,1754757,spotify:artist:09hVIj6vWgoCDtT03h8ZCa
A$AP Ferg,72,3364612,spotify:artist:5dHt1vcEm9qb8fCyLcB3HL
A$AP Rocky,81,11375942,spotify:artist:13ubrt8QOOCPljQ2FL1Kca
A.B. Quintanilla III Y Los Kumbia Kings,61,56141,spotify:artist:6BMQo3hxi4qwLiZpHKK5iL
Aaliyah,66,3452569,spotify:artist:0urTpYCsixqZwgNTkPJOJ4
Aaron Carter,45,279764,spotify:artist:5338fdSzGNOFD4cxAxDTeq
Aaron Hall,48,457638,spotify:artist:772SIFJQiXTCfxncTK1UMn
Aaron Neville,55,104514,spotify:artist:57ALvbCBaCkNlgTOSiUPdT
Aaron Tippin,51,532290,spotify:artist:4XwKU420OWVk38vz1KvH3M
ABBA,80,8842419,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV
AC/DC,81,24515407,spotify:artist:711MCceyCBcFnzjGY4Q7Un
Ace Frehley,49,193712,spotify:artist:62olK5zZHSgFUXGDykgBL8
Ace of Base,63,608901,spotify:artist:5ksRONqssB7BR161NTtJAm
Adam Sandler,40,129946,spotify:artist:2LB9H0px4qWbCHg9Axzhga
